KIC	T1	e_T1	T2	e_T2	R1/D	e_R1/D	R2/R1	e_R2/R1	T2/T1	Qual	Src	KIS	T1j	T2j	R2/R1j	T1k1	T2k1	R2/R1k1	Simbad	_RA	_DE
 1026032	 6150	  359	 4863	  556	 2.03e-11	 1.98e-12	 0.562	 0.209	 0.785	00000	1100	1	 6129	 4835	 0.579	 6201	 4908	 0.526	Simbad	291.044070	+36.729271
 1026957	 4777	  352	 4249	  642	 8.65e-11	 4.84e-12	 0.517	 0.223	 0.700	00010	1100	1	 4755	 4545	 0.415	 4897	 3920	 0.749	Simbad	291.254490	+36.743610
 1433410	 5930	  375	 6033	  650	 2.74e-11	 2.25e-12	 0.649	 0.200	 0.700	00010	1110	2	 5900	 6041	 0.677	 5991	 6055	 0.594	Simbad	291.637760	+37.082272
 1433980	 6870	  371	 5484	  558	 1.55e-11	 2.01e-12	 0.966	 0.221	 0.781	00000	1110	2	 6880	 5463	 1.197	 6953	 5527	 0.769	Simbad	291.766330	+37.097191
 1571511	 5946	  364	 6024	  685	 3.53e-11	 2.79e-12	 0.591	 0.218	 0.700	00010	1110	2	 5861	 5938	 0.576	 6039	 6121	 0.674	Simbad	290.996920	+37.199219
 1572353	 4709	  356	 4458	  557	 2.64e-11	 3.40e-12	 0.663	 0.306	 0.943	00000	0100	1	 3910	 3795	 0.870	 4709	 4458	 0.663	Simbad	291.188600	+37.161629
 1575690	 4207	  371	 3776	  570	 3.07e-11	 3.82e-12	 0.756	 0.308	 0.875	00000	0100	2	 3927	 3835	 0.900	 4207	 3776	 0.756	Simbad	291.881900	+37.189110
 1722276	 5567	  352	 4639	  593	 2.58e-11	 1.88e-12	 0.696	 0.176	 0.700	00010	1111	3	 5573	 3811	 0.690	 5613	 5221	 0.801	Simbad	291.696720	+37.238041
 1725193	 6045	  355	 5988	  555	 2.14e-11	 2.26e-12	 0.691	 0.225	 0.978	00000	1100	1	 5983	 5902	 0.625	 6195	 6076	 0.790	Simbad	292.294310	+37.261730
 1868650	31302	 2247	31311	 2499	 6.90e-12	 2.59e-12	 0.898	 0.160	 0.999	10001	1100	1	33028	33860	 0.938	28590	28981	 0.828	Simbad	291.539370	+37.335602
 1873513	 3539	  351	 4035	  543	 4.33e-11	 2.60e-12	 0.615	 0.183	 0.700	00010	1100	1	 3534	 3949	 0.710	 3549	 4095	 0.604	Simbad	292.579860	+37.376411
 1995732	 5197	  353	 5016	  563	 1.73e-11	 2.18e-12	 0.670	 0.249	 0.907	00000	1100	1	 5165	 5001	 0.638	 5281	 5042	 0.726	Simbad	286.216000	+37.425240
 2010607	 6245	  392	 5663	 1183	 8.30e-11	 8.28e-12	 0.505	 0.296	 0.700	00010	1000	1	 6245	 5663	 0.505	 7252	 5453	 0.911	Simbad	290.505650	+37.459011
 2012362	 6590	  378	 6136	  692	 2.17e-11	 2.41e-12	 0.732	 0.242	 0.965	00000	1100	1	 6624	 5216	 0.802	 6561	 6258	 0.682	Simbad	290.925230	+37.476318
 2019076	 6200	  361	 5185	  561	 1.34e-11	 1.86e-12	 0.853	 0.209	 0.865	00000	1110	2	 6317	 4971	 1.001	 6143	 5289	 0.729	Simbad	292.462490	+37.442619
 2141697	 6326	  369	 6322	  699	 2.99e-11	 3.28e-12	 0.794	 0.253	 1.003	00000	1100	1	 6273	 5914	 0.823	 6575	 6501	 0.753	Simbad	286.344880	+37.501808
 2159783	 6135	  353	 6086	  546	 1.69e-11	 1.97e-12	 0.740	 0.208	 0.988	00000	0111	3	 5997	 5901	 0.731	 6254	 6181	 0.697	Simbad	291.359380	+37.553322
 2161623	 7045	  766	 5107	 1086	 1.93e-11	 2.17e-12	 0.912	 0.197	 0.700	00010	1010	2	 6907	 4484	 0.937	 6902	 5748	 0.880	Simbad	291.744450	+37.591019
 2162283	 7526	  350	 7523	  540	 1.28e-10	 3.89e-12	 0.802	 0.162	 1.000	00001	1110	2	 7527	 7521	 0.771	 7519	 7518	 0.752	Simbad	291.891780	+37.556820
 2162994	 5824	  358	 5685	  551	 2.54e-11	 2.79e-12	 0.851	 0.243	 0.975	00000	1100	1	 5786	 5628	 0.822	 5854	 5710	 0.881	Simbad	292.058010	+37.592049
