KIC,period,class
1026032,8.460437800000001,sp
1026957,21.761305800000002,sp
1161345,4.2874555,sp
1432214,161.7883,fl
1433410,0.2832752,ev
1433980,1.5926344,ev
1571511,14.022451,sp?
1572353,0.2289313,ev
1573836,3.5570929,hb
1575690,2.2524281000000004,sp
1722276,569.95,sp
1868650,0.5847312,ev
1873513,3.2903828,sp?
1995732,77.3627213,fl
2010607,18.632296,hb
2012362,0.3863229,ev
2019076,7.129228200000001,sp
2141697,0.3310425,ev
2159783,0.3738842,ev
2161623,2.2834697999999998,ev
2162283,0.9063779000000001,ev
2162994,4.1015955,sp
2166200,8.0969564,fl
2167890,2.6483007,sp
2302092,0.29467340000000003,ev
2305277,0.3787718,ev
2305372,1.404692,ev
2305543,1.3622735000000001,sp
2306740,10.306987,sp
2306756,386.6,fl
2307199,13.4471107,sp?
2307206,204.0313791,fl
2308957,2.2196838,ev
2309587,1.8385106,sp
2309719,54.3563603,sp?
2435971,0.271828,ev
2436378,8.531613,fl
2437038,0.2676785,ev
2437060,3.1871104,sp
2437149,18.798734699999997,fl
2437452,14.4699302,sp?
2437505,21.476422,fl
2438061,4.885852099999999,sp
2438490,3.3157672999999996,sp
2440757,1.4337707,sp?
2441161,4.38398,sp
2442084,49.788597700000004,sp
2444187,0.3901594,ev
2444348,103.2069891,fl
2445134,8.4120089,sp?
2445975,3.3888824,sp
2446623,175.06572,fl
2447893,0.66162,sp?
2448320,0.2741085,ev
2449084,0.7397571,ev
2449090,4.944,sp
2450566,1.8445870999999998,ev
2452440,8.0970448,sp
2453212,0.436716,ev
2556127,0.41887129999999995,ev?
2557430,1.2977364,sp
2558370,0.5462481,sp?
2569494,1.5233235,ot
2570289,0.2790278,ev
2571439,0.32097909999999996,ev
2576107,205.58301699999998,fl
2576692,87.8785329,fl
2577756,0.8703334999999999,ev?
2580872,15.926627599999998,sp
2693092,39.8415237,fl
2694741,0.32664740000000003,ev
2695740,3.6158751000000002,ev
2696703,6.094094,pu
2697935,21.5133595,hb
2708156,1.8912721000000001,ot
2708614,52.8858904,fl
2711114,2.8588804,sp
2715007,0.2971105,ev
2715417,0.23643989999999998,ev
2717141,0.3945715,ev
2719436,0.7434797,ev
2719873,17.279290200000002,sp
2720096,26.674679700000002,hb
2720354,2.8213281,pu
2831632,2.573172,ev
2835289,0.8577619000000001,ev
2851100,0.8901084,fl
2851474,2.7682927000000004,ev
2852560,11.9613082,sp
2854432,0.3223256,ev
2854752,0.47043290000000004,ev
2854948,0.9743044,sp
2858322,0.4363999,ev
2860594,5.499944599999999,ev
2860788,5.2597422,sp
2970804,0.6869923000000001,fl
2972514,0.5034853,ev
2973509,6.6276114,sp
2983113,0.39516009999999996,ev
2987433,420.93,fl
2988984,0.7130196,ev
2996347,0.3010109,ev
2997455,1.12985,sp?
2998124,28.597884399999998,fl
3003991,7.2447788,sp
3097352,4.02984,sp
3098194,30.4765309,sp
3102000,57.0600095,sp
3102024,13.7825215,sp
3104113,0.846786,ev
3113266,0.9958613000000002,fl
3114667,0.8885831,sp
3115480,3.6937025,sp
3119295,0.4396981,ev
3120320,10.265613400000001,sp
3122985,0.9934885,sp
3124420,0.9489508,sp?
3127817,4.3271394,sp?
3127873,0.6715256,ev
3128793,24.6793813,sp
3218683,0.7716695,sp
3221207,0.4738303,ev
3222471,618.42,sp
3228824,0.7309423,fl
3228863,0.7309439999999999,ev
3230227,7.047106200000001,hb
3230578,6.337610099999999,ev
3230787,17.734052300000002,sp
3231120,3.90009,sp
