##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Aug. 9, 2016, 10:12 a.m.
## Download Date (Y/M/D): 2016/09/26
##
## Query String: {&quot;sort&quot;:&quot;kic&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;-2&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;camp&quot;,&quot;pteff&quot;,&quot;cteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;koi&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),KOI,SC,
1026032,Kepler,-1,1,8.4604378,0.0000230,54966.773813,0.030112,0.0710,0.0270,0.0203,0.0201,0.5266,0.15,291.0441,36.7293,69.3036,9.8547,14.8130,5715.0000,6054.0000,6210.0000,False,False,
1026957,Kepler,958,1,21.7613058,0.0000881,54956.017106,0.011314,0.0011,-1.0000,0.0031,-1.0000,1.0000,0.01,291.2545,36.7436,69.3933,9.7104,12.5590,4845.0000,4917.0000,5024.0000,True,True,
1161345,Kepler,984,1,4.2874555,0.0000086,55005.028983,0.023798,0.0004,-1.0000,0.0290,-1.0000,1.0000,0.24,291.0488,36.8399,69.4057,9.9008,11.6310,5836.0000,5518.0000,5631.0000,True,True,
1432214,Kepler,998,1,161.7883000,0.0015784,55047.039254,0.037980,0.0916,-1.0000,0.0013,-1.0000,1.0000,0.00,291.3827,37.0730,69.7386,9.7670,15.6610,5814.0000,6069.0000,6859.0000,True,True,
1433410,Kepler,-1,1,0.2832752,0.0000031,54999.951811,0.014174,0.1179,0.1219,0.1308,0.1488,0.5003,0.74,291.6377,37.0823,69.8401,9.5895,14.1190,6003.0000,-1.0000,-1.0000,False,False,
1433980,Kepler,3924,1,1.5926344,0.0000062,55000.366398,0.054653,0.1578,0.0586,0.1553,0.1491,0.5000,0.62,291.7663,37.0972,69.9006,9.5048,14.9150,6345.0000,-1.0000,-1.0000,True,False,
1571511,Kepler,362,1,14.0224510,0.0000472,54954.504752,0.065876,0.0220,-1.0000,0.0260,-1.0000,1.0000,0.17,290.9969,37.1992,69.7133,10.0985,13.4240,5804.0000,6054.0000,6119.0000,True,False,
1572353,Kepler,-1,1,0.2289313,0.0000001,54964.674573,0.013123,0.0977,0.0785,0.2556,0.2472,0.5036,0.91,291.1886,37.1616,69.7485,9.9451,15.2340,4470.0000,4643.0000,4502.0000,False,False,
1573836,Kepler,-1,1,3.5570929,0.0000066,55000.034563,-1,0.0009,0.0008,0.1768,0.4635,0.4666,-1.00,291.5025,37.1775,69.8769,9.7288,13.1240,6283.0000,6563.0000,6583.0000,False,False,
1575690,Kepler,3658,1,2.2524281,0.0000043,54965.432738,0.013150,0.0310,-1.0000,0.0321,-1.0000,1.0000,0.31,291.8819,37.1891,70.0261,9.4644,15.6250,4140.0000,-1.0000,-1.0000,True,False,
1722276,Kepler,1008,1,569.9500000,0.0073539,55081.923700,0.035212,0.0182,-1.0000,0.0003,-1.0000,1.0000,0.00,291.6967,37.2380,70.0025,9.6180,14.6450,5370.0000,5559.0000,5530.0000,True,False,
1868650,Kepler,-1,1,0.5847312,0.0000005,54953.769678,0.028231,0.0442,0.0440,0.2816,0.2810,0.5028,1.00,291.5394,37.3356,70.0336,9.7738,13.4530,10733.0000,-9999.0000,-9999.0000,False,True,
1873513,Kepler,4928,1,3.2903828,0.0000529,55001.074635,0.014651,0.0142,-1.0000,0.0248,-1.0000,1.0000,0.16,292.5799,37.3764,70.4518,9.0558,15.6690,3109.0000,-1.0000,-1.0000,True,False,
1995732,Kepler,3351,1,77.3627213,0.0005436,55049.455853,0.074804,0.0911,0.0621,0.0055,0.0067,0.4163,0.03,286.2160,37.4252,68.2678,13.6349,15.6730,5163.0000,5345.0000,4971.0000,True,False,
